timestamp,temp,ac,lights
253,27.82,Off,On
254,27.83,Off,On
255,27.82,Off,On
256,27.86,Off,On
257,27.84,Off,On
258,27.83,Off,On
259,27.84,Off,On
260,27.86,Off,On
261,27.85,Off,On
262,27.88,Off,On
263,27.9,Off,On
264,27.9,Off,On
265,27.9,Off,On
266,27.91,Off,On
267,27.9,Off,On
268,27.91,Off,On
269,27.89,Off,On
270,27.9,Off,On
271,27.92,Off,On
272,27.91,Off,On
273,27.9,Off,On
274,27.91,Off,On
275,27.9,Off,On
276,27.89,Off,On
277,27.91,Off,On
278,27.91,Off,On
279,27.89,Off,On
280,27.88,Off,On
281,27.86,Off,On
282,27.86,Off,On
283,27.86,Off,On
284,27.85,Off,On
285,27.84,Off,On
286,27.8,Off,On
287,27.8,Off,On
288,27.82,Off,On
289,27.82,Off,On
290,27.79,Off,On
291,27.79,Off,On
292,27.79,Off,On
293,27.79,Off,On
294,27.79,Off,On
295,27.79,Off,On
296,27.8,Off,On
297,27.79,Off,On
298,27.8,Off,On
299,27.85,Off,On
300,27.77,On,On
301,27.7,On,On
302,27.63,On,On
303,27.53,On,On
304,27.48,On,On
305,27.41,On,On
306,27.38,On,On
307,27.34,On,On
308,27.29,On,On
309,27.25,On,On
310,27.19,On,On
311,27.14,On,On
312,27.07,On,On
313,27,On,On
314,26.96,On,On
315,26.94,On,On
316,26.85,On,On
317,26.83,On,On
318,26.78,On,On
319,26.73,On,On
320,26.68,On,On
321,26.66,On,On
322,26.63,On,On
323,26.58,On,On
324,26.55,On,On
325,26.49,On,On
326,26.45,On,On
327,26.42,On,On
328,26.38,On,On
329,26.36,On,On
330,26.32,On,On
331,26.28,On,On
332,26.24,On,On
333,26.21,On,On
334,26.17,On,On
335,26.1,On,On
336,26.03,On,On
337,25.98,On,On
338,25.91,On,On
339,25.86,On,On
340,25.82,On,On
341,25.81,On,On
342,25.75,On,On
343,25.71,On,On
344,25.68,On,On
345,25.66,On,On
346,25.6,On,On
347,25.58,On,On
348,25.56,On,On
349,25.52,On,On
350,25.49,On,On
351,25.46,On,On
352,25.39,On,On
353,25.36,On,On
354,25.3,On,On
355,25.28,On,On
356,25.26,On,On
357,25.22,On,On
358,25.19,On,On
359,25.18,On,On
360,25.16,On,On
361,25.13,On,On
362,25.1,On,On
363,25.09,On,On
364,25.05,On,On
365,25.01,On,On
366,25.02,On,On
367,25,On,On
368,25,On,On
369,24.96,On,On
370,24.91,On,On
371,24.88,On,On
372,24.83,On,On
373,24.78,On,On
374,24.78,On,On
375,24.76,On,On
376,24.72,On,On
377,24.68,On,On
378,24.64,On,On
379,24.62,On,On
380,24.55,On,On
381,24.55,On,On
382,24.5,On,On
383,24.49,On,On
384,24.47,On,On
385,24.46,On,On
386,24.43,On,On
387,24.41,On,On
388,24.34,On,On
389,24.3,On,On
390,24.28,On,On
391,24.27,On,On
392,24.25,On,On
393,24.22,On,On
394,24.19,On,On
395,24.2,On,On
396,24.2,On,On
397,24.19,On,On
398,24.13,On,On
399,24.14,On,On
400,24.08,On,On
401,24.04,On,On
402,24.02,On,On
403,24.02,On,On
404,23.99,On,On
405,23.97,On,On
406,23.96,On,On
407,23.91,On,On
408,23.92,On,On
409,23.89,On,On
410,23.86,On,On
411,23.83,On,On
412,23.8,On,On
413,23.75,On,On
414,23.73,On,On
415,23.69,On,On
416,23.63,On,On
417,23.6,On,On
418,23.58,On,On
419,23.57,On,On
420,23.52,On,On
421,23.51,On,On
422,23.47,On,On
423,23.44,On,On
424,23.44,On,On
425,23.42,On,On
426,23.41,On,On
427,23.33,On,On
428,23.29,On,On
429,23.28,On,On
430,23.27,On,On
431,23.25,On,On
432,23.22,On,On
433,23.2,On,On
434,23.2,On,On
435,23.19,On,On
436,23.18,On,On
437,23.16,On,On
438,23.18,On,On
439,23.2,On,On
440,23.19,On,On
441,23.16,On,On
442,23.2,On,On
443,23.18,On,On
444,23.13,On,On
445,23.11,On,On
446,23.1,On,On
447,23.06,On,On
448,23.04,On,On
449,23.03,On,On
450,23.01,On,On
451,22.99,On,On
452,22.98,On,On
453,22.97,On,On
454,22.97,On,On
455,22.97,On,On
456,22.97,On,On
457,22.96,On,On
458,22.98,On,On
459,22.99,On,On
460,23.01,On,On
461,23.01,On,On
462,23,On,On
463,23,On,On
464,23.03,On,On
465,23.03,On,On
466,23,On,On
467,22.96,On,On
468,22.96,On,On
469,22.92,On,On
470,22.94,On,On
471,22.95,On,On
472,22.96,On,On
473,22.98,On,On
474,22.97,On,On
475,22.93,On,On
476,22.93,On,On
477,22.93,On,On
478,22.9,On,On
479,22.88,On,On
480,22.87,On,On
481,22.87,On,On
482,22.87,On,On
483,22.85,On,On
484,22.87,On,On
485,22.83,On,On
486,22.84,On,On
487,22.85,On,On
488,22.84,On,On
489,22.83,On,On
490,22.83,On,On
491,22.84,On,On
492,22.83,On,On
493,22.81,On,On
494,22.78,On,On
495,22.75,On,On
496,22.74,On,On
497,22.75,On,On
498,22.72,On,On
499,22.72,On,On
500,22.74,On,On
501,22.74,On,On
502,22.72,On,On
503,22.67,On,On
504,22.66,On,On
505,22.61,On,On
506,22.58,On,On
507,22.59,On,On
508,22.58,On,On
509,22.6,On,On
510,22.58,On,On
511,22.6,On,On
512,22.55,On,On
513,22.56,On,On
514,22.56,On,On
515,22.54,On,On
516,22.5,On,On
517,22.49,On,On
518,22.51,On,On
519,22.45,On,On
520,22.44,On,On
521,22.45,On,On
522,22.48,On,On
523,22.48,On,On
524,22.49,On,On
525,22.52,On,On
526,22.51,On,On
527,22.52,On,On
528,22.54,On,On
529,22.56,On,On
530,22.54,On,On
531,22.52,On,On
532,22.51,On,On
533,22.49,On,On
534,22.47,On,On
535,22.47,On,On
536,22.48,On,On
537,22.48,On,On
538,22.49,On,On
539,22.47,On,On
540,22.41,On,On
541,22.41,On,On
542,22.39,On,On
543,22.38,On,On
544,22.38,On,On
545,22.38,On,On
546,22.36,On,On
547,22.37,On,On
548,22.37,On,On
549,22.4,On,On
550,22.39,On,On
551,22.4,On,On
552,22.38,On,On
553,22.35,On,On
554,22.33,On,On
555,22.32,On,On
556,22.3,On,On
557,22.28,On,On
558,22.28,On,On
559,22.26,On,On
560,22.26,On,On
561,22.24,On,On
562,22.24,On,On
563,22.24,On,On
564,22.26,On,On
565,22.27,On,On
566,22.24,On,On
567,22.19,On,On
568,22.17,On,On
569,22.18,On,On
570,22.15,On,On
571,22.17,On,On
572,22.17,On,On
573,22.17,On,On
574,22.2,On,On
575,22.19,On,On
576,22.2,On,On
577,22.2,On,On
578,22.19,On,On
579,22.18,On,On
580,22.22,On,On
581,22.21,On,On
582,22.2,On,On
583,22.18,On,On
584,22.16,On,On
585,22.19,On,On
586,22.16,On,On
587,22.17,On,On
588,22.18,On,On
589,22.17,On,On
590,22.16,On,On
591,22.14,On,On
592,22.14,On,On
593,22.13,On,On
594,22.13,On,On
595,22.13,On,On
596,22.12,On,On
597,22.13,On,On
598,22.13,On,On
599,22.12,On,On
600,22.11,On,On
601,22.09,On,On
602,22.1,On,On
603,22.08,On,On
604,22.07,On,On
605,22.04,On,On
